,Aotizhongxin,Changping,Dingling,Dongsi,Guanyuan,Gucheng,Huairou,Nongzhanguan,Shunyi,Tiantan,Wanliu,Wanshouxigong
Aotizhongxin,1,1,0,1,1,1,0,0,1,0,1,0
Changping,1,1,1,0,0,1,1,0,1,0,1,0
Dingling,0,1,1,0,0,1,1,0,1,0,0,0
Dongsi,1,0,0,1,1,1,0,1,1,1,0,1
Guanyuan,1,0,0,1,1,0,0,0,0,1,1,1
Gucheng,1,1,1,1,0,1,1,1,1,0,0,0
Huairou,0,1,1,0,0,1,1,0,1,0,0,0
Nongzhanguan,0,0,0,1,0,1,0,1,1,1,0,0
Shunyi,1,1,1,1,0,1,1,1,1,1,0,0
Tiantan,0,0,0,1,1,0,0,1,1,1,0,1
Wanliu,1,1,0,0,1,0,0,0,0,0,1,1
Wanshouxigong,0,0,0,1,1,0,0,0,0,1,1,1
